"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"37","0.553704000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","138","51141 > 12350 [PSH, ACK] Seq=629 Ack=400 Win=15744 Len=72 TSval=5275786 TSecr=3075217627"
"38","0.568250000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","86","12350 > 51141 [PSH, ACK] Seq=400 Ack=701 Win=9216 Len=20 TSval=3075217631 TSecr=5275786"
"39","0.568811000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","103","12350 > 51141 [PSH, ACK] Seq=420 Ack=701 Win=9216 Len=37 TSval=3075217631 TSecr=5275786"
"40","0.568883000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","66","51141 > 12350 [ACK] Seq=701 Ack=457 Win=15744 Len=0 TSval=5275790 TSecr=3075217631"
"41","0.569373000","10.50.63.61","Giga-Byt_59:c5:93","51141","91.190.218.61","Sonicwal_18:fb:1a","12350","TCP","176","51141 > 12350 [PSH, ACK] Seq=701 Ack=457 Win=15744 Len=110 TSval=5275790 TSecr=3075217631"
"42","0.615229000","91.190.218.61","Sonicwal_18:fb:1a","12350","10.50.63.61","Giga-Byt_59:c5:93","51141","TCP","146","12350 > 51141 [PSH, ACK] Seq=457 Ack=811 Win=9216 Len=80 TSval=3075217643 TSecr=5275790"
"43","0.633428000","10.50.63.61","Giga-Byt_59:c5:93","15067","129.67.1.1","Sonicwal_18:fb:1a","53","DNS","72","Standard query 0xb612  A ui.skype.com"
"44","0.635190000","129.67.1.1","Sonicwal_18:fb:1a","53","10.50.63.61","Giga-Byt_59:c5:93","15067","DNS","514","Standard query response 0xb612  CNAME ui.skype.akadns.net A 91.190.216.9"
"45","0.636565000","10.50.63.61","Giga-Byt_59:c5:93","38521","91.190.216.9","Sonicwal_18:fb:1a","80","TCP","74","38521 > http [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=5275807 TSecr=0 WS=128"
"46","0.648153000","91.190.216.9","Sonicwal_18:fb:1a","80","10.50.63.61","Giga-Byt_59:c5:93","38521","TCP","60","http > 38521 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
