"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"4530","4335.253685","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","4410","[TCP segment of a reassembled PDU]"
"4531","4335.253712","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2922065 Win=305120 Len=0 TSval=6336021 TSecr=1924755"
"4532","4335.253871","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","18890","[TCP segment of a reassembled PDU]"
"4533","4335.253944","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2940889 Win=297872 Len=0 TSval=6336021 TSecr=1924755"
"4534","4335.255680","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4535","4335.255688","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2956817 Win=299328 Len=0 TSval=6336021 TSecr=1924755"
"4536","4335.255717","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","17442","[TCP segment of a reassembled PDU]"
"4537","4335.255726","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","8754","[TCP segment of a reassembled PDU]"
"4538","4335.255843","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=2982881 Win=285200 Len=0 TSval=6336021 TSecr=1924755"
"4539","4335.257224","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","1514","[TCP segment of a reassembled PDU]"
"4540","4335.257431","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","18890","[TCP segment of a reassembled PDU]"
"4541","4335.257438","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3003153 Win=297872 Len=0 TSval=6336022 TSecr=1924755"
"4542","4335.257987","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4543","4335.257994","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3019081 Win=299328 Len=0 TSval=6336022 TSecr=1924755"
"4544","4335.259478","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","17442","[TCP segment of a reassembled PDU]"
