"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"359","3.543533000","10.0.2.15","CadmusCo_3b:89:8d","56177","94.8.222.9","RealtekU_12:35:02","1259","TCP","74","56177 > opennl-voice [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27010 TSecr=0 WS=64"
"360","3.545359000","10.0.2.15","CadmusCo_3b:89:8d","53840","94.8.222.9","RealtekU_12:35:02","56737","TCP","74","53840 > 56737 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27010 TSecr=0 WS=64"
"361","3.585915000","10.0.2.15","CadmusCo_3b:89:8d","32853","94.8.222.9","RealtekU_12:35:02","2049","TCP","74","32853 > nfs [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27020 TSecr=0 WS=64"
"362","3.590629000","10.0.2.15","CadmusCo_3b:89:8d","42212","94.8.222.9","RealtekU_12:35:02","1165","TCP","74","42212 > qsm-gui [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27022 TSecr=0 WS=64"
"363","3.590701000","10.0.2.15","CadmusCo_3b:89:8d","55522","94.8.222.9","RealtekU_12:35:02","2003","TCP","74","55522 > brutus [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27022 TSecr=0 WS=64"
"364","3.591802000","10.0.2.15","CadmusCo_3b:89:8d","50432","94.8.222.9","RealtekU_12:35:02","40193","TCP","74","50432 > 40193 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27022 TSecr=0 WS=64"
"365","3.591883000","10.0.2.15","CadmusCo_3b:89:8d","56228","94.8.222.9","RealtekU_12:35:02","2000","TCP","74","56228 > cisco-sccp [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27022 TSecr=0 WS=64"
"366","3.592101000","10.0.2.15","CadmusCo_3b:89:8d","44639","94.8.222.9","RealtekU_12:35:02","49157","TCP","74","44639 > 49157 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27022 TSecr=0 WS=64"
"367","3.593159000","10.0.2.15","CadmusCo_3b:89:8d","55079","94.8.222.9","RealtekU_12:35:02","1053","TCP","74","55079 > remote-as [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27022 TSecr=0 WS=64"
"368","3.594208000","10.0.2.15","CadmusCo_3b:89:8d","56937","94.8.222.9","RealtekU_12:35:02","2399","TCP","74","56937 > fmpro-fdal [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27023 TSecr=0 WS=64"
"369","3.600593000","10.0.2.15","CadmusCo_3b:89:8d","36545","94.8.222.9","RealtekU_12:35:02","3527","TCP","74","36545 > beserver-msg-q [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27024 TSecr=0 WS=64"
"370","3.600850000","10.0.2.15","CadmusCo_3b:89:8d","50706","94.8.222.9","RealtekU_12:35:02","1119","TCP","74","50706 > bnetgame [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27024 TSecr=0 WS=64"
"371","3.600930000","10.0.2.15","CadmusCo_3b:89:8d","45559","94.8.222.9","RealtekU_12:35:02","1761","TCP","74","45559 > cft-0 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27024 TSecr=0 WS=64"
"372","3.616341000","10.0.2.15","CadmusCo_3b:89:8d","36261","94.8.222.9","RealtekU_12:35:02","19101","TCP","74","36261 > 19101 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27028 TSecr=0 WS=64"
"373","3.616913000","10.0.2.15","CadmusCo_3b:89:8d","35752","94.8.222.9","RealtekU_12:35:02","3827","TCP","74","35752 > netmpi [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27028 TSecr=0 WS=64"
"374","3.623124000","10.0.2.15","CadmusCo_3b:89:8d","38421","94.8.222.9","RealtekU_12:35:02","8100","TCP","74","38421 > xprint-server [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"375","3.623301000","10.0.2.15","CadmusCo_3b:89:8d","58268","94.8.222.9","RealtekU_12:35:02","10000","TCP","74","58268 > ndmp [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"376","3.623362000","10.0.2.15","CadmusCo_3b:89:8d","57463","94.8.222.9","RealtekU_12:35:02","1107","TCP","74","57463 > isoipsigport-2 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"377","3.623422000","10.0.2.15","CadmusCo_3b:89:8d","43341","94.8.222.9","RealtekU_12:35:02","43","TCP","74","43341 > nicname [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"378","3.624205000","10.0.2.15","CadmusCo_3b:89:8d","49055","94.8.222.9","RealtekU_12:35:02","9001","TCP","74","49055 > etlservicemgr [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"379","3.624357000","10.0.2.15","CadmusCo_3b:89:8d","57320","94.8.222.9","RealtekU_12:35:02","5357","TCP","74","57320 > wsdapi [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"380","3.624773000","10.0.2.15","CadmusCo_3b:89:8d","46704","94.8.222.9","RealtekU_12:35:02","1114","TCP","74","46704 > mini-sql [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"381","3.625041000","10.0.2.15","CadmusCo_3b:89:8d","38947","94.8.222.9","RealtekU_12:35:02","1247","TCP","74","38947 > visionpyramid [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"382","3.625192000","10.0.2.15","CadmusCo_3b:89:8d","34820","94.8.222.9","RealtekU_12:35:02","5925","TCP","74","34820 > 5925 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27030 TSecr=0 WS=64"
"383","3.626877000","10.0.2.15","CadmusCo_3b:89:8d","38905","94.8.222.9","RealtekU_12:35:02","8082","TCP","74","38905 > us-cli [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27031 TSecr=0 WS=64"
"384","3.628252000","10.0.2.15","CadmusCo_3b:89:8d","58208","94.8.222.9","RealtekU_12:35:02","49161","TCP","74","58208 > 49161 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27031 TSecr=0 WS=64"
"385","3.635783000","10.0.2.15","CadmusCo_3b:89:8d","38175","94.8.222.9","RealtekU_12:35:02","3","TCP","74","38175 > compressnet [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27033 TSecr=0 WS=64"
"386","3.636044000","10.0.2.15","CadmusCo_3b:89:8d","53871","94.8.222.9","RealtekU_12:35:02","1494","TCP","74","53871 > ica [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27033 TSecr=0 WS=64"
"387","3.641082000","10.0.2.15","CadmusCo_3b:89:8d","38103","94.8.222.9","RealtekU_12:35:02","2135","TCP","74","38103 > gris [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27034 TSecr=0 WS=64"
"388","3.642898000","10.0.2.15","CadmusCo_3b:89:8d","58356","94.8.222.9","RealtekU_12:35:02","7800","TCP","74","58356 > asr [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27035 TSecr=0 WS=64"
"389","3.643592000","10.0.2.15","CadmusCo_3b:89:8d","56207","94.8.222.9","RealtekU_12:35:02","1259","TCP","74","56207 > opennl-voice [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27035 TSecr=0 WS=64"
"390","3.645415000","10.0.2.15","CadmusCo_3b:89:8d","53870","94.8.222.9","RealtekU_12:35:02","56737","TCP","74","53870 > 56737 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27035 TSecr=0 WS=64"
"391","3.686659000","10.0.2.15","CadmusCo_3b:89:8d","54235","94.8.222.9","RealtekU_12:35:02","32777","TCP","74","54235 > filenet-obrok [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27046 TSecr=0 WS=64"
"392","3.690876000","10.0.2.15","CadmusCo_3b:89:8d","52035","94.8.222.9","RealtekU_12:35:02","5963","TCP","74","52035 > indy [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27047 TSecr=0 WS=64"
"393","3.691059000","10.0.2.15","CadmusCo_3b:89:8d","40581","94.8.222.9","RealtekU_12:35:02","1075","TCP","74","40581 > rdrmshc [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27047 TSecr=0 WS=64"
"394","3.691658000","10.0.2.15","CadmusCo_3b:89:8d","33429","94.8.222.9","RealtekU_12:35:02","5902","TCP","74","33429 > 5902 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27047 TSecr=0 WS=64"
"395","3.691985000","10.0.2.15","CadmusCo_3b:89:8d","34530","94.8.222.9","RealtekU_12:35:02","5906","TCP","74","34530 > 5906 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=27047 TSecr=0 WS=64"
